id,name,Longitude,Latitude
ID_00000,54th/Cermak,-87.7567,41.85178
ID_00001,Oakton-Skokie,-87.7472,42.02625
ID_00002,Pulaski,-87.7243,41.85386
ID_00003,Logan Square,-87.7085,41.92974
ID_00004,Irving Park,-87.7292,41.95295
ID_00005,Kedzie,-87.7088,41.9661
ID_00006,Damen,-87.6786,41.96642
ID_00007,Ashland,-87.6653,41.83936
ID_00008,Racine,-87.6595,41.87589
ID_00009,Southport,-87.6636,41.94382
ID_00010,Addison,-87.6536,41.94744
ID_00011,Howard,-87.6729,42.01907
ID_00012,Jarvis,-87.6691,42.01588
ID_00013,47th,-87.6188,41.80922
ID_00014,Sox-35th,-87.6306,41.8312
ID_00015,Indiana,-87.6215,41.82182
ID_00016,LaSalle/Van Buren,-87.6317,41.87686
ID_00017,LaSalle,-87.6317,41.87558
ID_00018,Jackson,-87.6293,41.87819
ID_00019,Roosevelt,-87.6266,41.86741
ID_00020,Clark/Division,-87.6314,41.90393
ID_00021,King Drive,-87.6156,41.78014
ID_00022,Cumberland,-87.838,41.9843
ID_00023,Harlem,-87.807,41.8735
ID_00024,Ridgeland,-87.7837,41.88717
ID_00025,Kostner,-87.7333,41.85376
ID_00026,Western,-87.6852,41.8544
ID_00027,Western,-87.6885,41.96626
ID_00028,Ashland,-87.6639,41.77896
ID_00029,Halsted,-87.6481,41.84691
ID_00030,Polk,-87.6695,41.87157
ID_00031,Diversey,-87.6531,41.93274
ID_00032,Irving Park,-87.675,41.95453
ID_00033,Loyola,-87.6611,42.00108
ID_00034,Granville,-87.6592,41.99367
ID_00035,Thorndale,-87.6591,41.99027
ID_00036,95/Dan Ryan,-87.6244,41.72238
ID_00037,51st,-87.6185,41.8021
ID_00038,Cermak-McCormick Pl,-87.6264,41.85312
ID_00039,Adams/Wabash,-87.6261,41.87952
ID_00040,Merchandise Mart,-87.634,41.88898
ID_00041,Chicago,-87.6282,41.89668
ID_00042,Oak Park,-87.7938,41.887
ID_00043,Austin,-87.7768,41.87089
ID_00044,Central,-87.7657,41.8874
ID_00045,Kedzie,-87.7043,41.80436
ID_00046,Kedzie,-87.7062,41.88433
ID_00047,Davis,-87.6835,42.04772
ID_00048,Medical District,-87.674,41.87564
ID_00049,Armitage,-87.6527,41.91822
ID_00050,Argyle,-87.6585,41.97346
ID_00051,Halsted,-87.644,41.77904
ID_00052,Washington/Wells,-87.6339,41.8827
ID_00053,Washington,-87.6294,41.88317
ID_00054,State/Lake,-87.6278,41.88575
ID_00055,Harrison,-87.6275,41.87405
ID_00056,Roosevelt,-87.6274,41.86738
ID_00057,Cicero,-87.7453,41.85193
ID_00058,Jefferson Park,-87.7609,41.97064
ID_00059,Dempster-Skokie,-87.7519,42.03896
ID_00060,Pulaski,-87.7245,41.7999
ID_00061,Kimball,-87.7131,41.96794
ID_00062,Damen,-87.6774,41.90975
ID_00063,Western,-87.6874,41.91617
ID_00064,Main,-87.6795,42.03346
ID_00065,South Boulevard,-87.6783,42.02762
ID_00066,Morgan,-87.6521,41.88558
ID_00067,Fullerton,-87.6529,41.92506
ID_00068,Wellington,-87.6533,41.93604
ID_00069,43rd,-87.619,41.81647
ID_00070,Monroe,-87.6294,41.88071
ID_00071,Lake,-87.6278,41.88482
ID_00072,Washington/Wabash,-87.6262,41.88323
ID_00073,Chicago,-87.636,41.89678
ID_00074,O'Hare,-87.9019,41.97888
ID_00075,Cicero,-87.7452,41.87162
ID_00076,Montrose,-87.7436,41.96149
ID_00077,Central Park,-87.7149,41.854
ID_00078,Conservatory,-87.7165,41.88491
ID_00079,Belmont,-87.7124,41.93814
ID_00080,California,-87.6969,41.92195
ID_00081,Rockwell,-87.6941,41.96622
