ID,Latitude,Longitude
6,41.88504,-87.6128
73,41.88042,-87.6427
622,41.90036,-87.6967
193,41.84171,-87.6269
59,41.86723,-87.626
106,41.89745,-87.6287
623,41.87277,-87.624
14,41.85809,-87.6511
366,41.84163,-87.6574
392,41.76929,-87.6282
398,41.75787,-87.5494
11,41.76664,-87.5765
624,41.87627,-87.6292
532,41.88792,-87.7744
625,42.04169,-87.6807
514,42.01928,-87.6845
137,41.86238,-87.6511
429,41.77372,-87.6056
32,41.87464,-87.657
435,41.86649,-87.7065
214,41.89122,-87.6769
308,41.9434,-87.6796
97,41.86531,-87.6179
99,41.89257,-87.6145
563,41.77937,-87.6648
586,41.74312,-87.6148
319,41.9326,-87.6659
27,41.91021,-87.6435
491,41.94664,-87.6946
285,41.88959,-87.672
537,41.88071,-87.741
529,41.88684,-87.7453
3,41.86723,-87.6154
85,41.90096,-87.6238
28,41.91468,-87.6433
350,41.89597,-87.6677
94,41.91831,-87.6363
108,41.87184,-87.6466
587,41.74332,-87.6228
581,41.74461,-87.5512
568,41.76346,-87.6373
502,41.92669,-87.6977
530,41.88783,-87.7555
476,41.96669,-87.7081
536,41.88593,-87.7354
114,41.9494,-87.6545
115,41.93627,-87.6527
570,41.75831,-87.6067
534,41.88083,-87.7263
132,41.84924,-87.6317
160,41.91054,-87.6896
543,41.87581,-87.7553
542,41.88012,-87.7632
539,41.87761,-87.7454
540,41.88021,-87.7553
158,41.91262,-87.6814
171,41.85514,-87.6541
167,41.8492,-87.6756
541,41.87299,-87.7645
204,41.79485,-87.6187
203,41.85411,-87.6858
198,41.88189,-87.6488
192,41.87926,-87.6399
206,41.8472,-87.6468
200,41.80985,-87.6163
572,41.75697,-87.6246
544,41.88028,-87.7745
201,41.82168,-87.6216
215,41.88137,-87.6749
127,41.92591,-87.6493
233,41.883,-87.6511
174,41.88209,-87.6398
181,41.89076,-87.632
278,41.83063,-87.6413
271,41.8165,-87.6066
274,41.86127,-87.6566
186,41.8918,-87.6588
280,41.8378,-87.6511
281,41.84847,-87.6851
270,41.75867,-87.5869
217,41.88693,-87.6569
405,41.83078,-87.6325
589,41.95447,-87.7496
282,41.86488,-87.6471
321,41.87196,-87.6261
61,41.90766,-87.6726
342,41.87126,-87.6737
333,41.90707,-87.6673
369,41.8301,-87.6703
335,41.83138,-87.618
355,41.77364,-87.5675
385,41.79498,-87.6331
388,41.77938,-87.6446
391,41.76906,-87.6446
545,41.87792,-87.7357
383,41.87429,-87.6673
430,41.78008,-87.6159
95,41.7787,-87.5868
535,41.87433,-87.7257
421,41.79343,-87.6159
416,41.80577,-87.5925
427,41.7806,-87.6061
374,41.89842,-87.6866
406,41.83127,-87.6088
401,41.84273,-87.6355
426,41.7851,-87.6011
488,41.94564,-87.7277
550,41.89496,-87.7649
122,41.87501,-87.6733
470,41.97567,-87.7093
454,41.99478,-87.6603
469,41.98039,-87.7161
569,41.75916,-87.5958
365,41.89937,-87.6485
399,41.76219,-87.5593
452,41.99416,-87.6894
292,41.95708,-87.6642
124,41.85505,-87.6757
492,41.94666,-87.6834
617,41.87131,-87.7889
119,41.88541,-87.6673
131,41.93937,-87.6684
595,41.73665,-87.6226
494,41.9824,-87.7089
500,41.93534,-87.7169
459,41.98404,-87.6523
136,41.86505,-87.657
164,41.88584,-87.6355
133,41.88918,-87.6385
466,42.01213,-87.6829
577,41.75117,-87.5853
571,41.75836,-87.6141
316,41.96325,-87.6793
579,41.75182,-87.5652
509,41.90977,-87.7053
612,41.88809,-87.7852
481,41.96107,-87.6954
547,41.82347,-87.6656
126,41.91197,-87.6319
323,41.96952,-87.6547
184,41.83104,-87.6269
418,41.79934,-87.601
134,41.87775,-87.6496
575,41.75317,-87.605
393,41.76551,-87.6169
504,41.92463,-87.6893
576,41.75129,-87.5976
356,41.76649,-87.5865
620,41.8982,-87.6375
390,41.78008,-87.6297
619,41.92436,-87.7278
456,41.99118,-87.6836
223,41.91822,-87.6569
528,41.88541,-87.7265
20,41.91052,-87.6531
231,41.96167,-87.6546
272,41.83884,-87.6219
553,41.80839,-87.6565
248,41.79526,-87.5965
555,41.80302,-87.6647
556,41.79966,-87.6572
301,41.90799,-87.6315
585,41.74405,-87.6048
12,41.76641,-87.5657
117,41.94018,-87.653
118,41.91139,-87.6387
286,41.87872,-87.6348
551,41.80823,-87.6772
584,41.74412,-87.599
409,41.81621,-87.6348
594,41.80566,-87.6834
583,41.74656,-87.586
395,41.75712,-87.5758
396,41.75877,-87.5664
121,41.80256,-87.5904
103,41.87147,-87.6409
113,41.91844,-87.6522
109,41.87475,-87.6498
31,41.89678,-87.6356
309,41.91781,-87.6824
412,41.80932,-87.6334
110,41.89399,-87.6293
101,41.78102,-87.5761
411,41.80813,-87.6456
415,41.80229,-87.6181
410,41.81666,-87.6194
588,41.74392,-87.5752
339,41.8382,-87.6451
129,41.85756,-87.6615
130,41.90331,-87.677
222,41.9202,-87.693
149,41.8349,-87.6179
143,41.92217,-87.6389
582,41.74452,-87.565
135,41.85378,-87.6467
336,41.80986,-87.6068
18,41.88327,-87.6373
150,41.83856,-87.6082
381,41.87979,-87.6861
148,41.83473,-87.6258
205,41.8579,-87.6687
175,41.8726,-87.6335
210,41.90345,-87.6677
191,41.88088,-87.6395
377,41.8846,-87.7063
480,41.96104,-87.7059
263,41.83621,-87.6135
197,41.88213,-87.6251
