OBJECTID,POINT_X,POINT_Y
193,-87.5486,41.72818
194,-87.7372,41.74911
195,-87.744,41.92414
196,-87.6593,41.86931
197,-87.7278,41.87701
198,-87.7198,41.97553
199,-87.6662,41.85248
200,-87.672,42.00179
201,-87.6317,41.9095
202,-87.6604,41.98393
203,-87.6926,41.97771
204,-87.6997,41.99765
205,-87.6423,41.68519
206,-87.6547,41.78514
207,-87.6543,41.77058
208,-87.6209,41.6945
209,-87.7459,41.89694
210,-87.7646,41.79544
211,-87.6443,41.93493
212,-87.8187,42.00433
213,-87.8008,41.9934
214,-87.7437,41.8218
215,-87.6145,41.73097
216,-87.7619,41.96985
217,-87.5534,41.7569
218,-87.6541,41.96008
219,-87.6319,41.8527
220,-87.729,41.95375
221,-87.5838,41.77342
222,-87.6887,41.87759
223,-87.7014,41.80822
224,-87.7277,41.8744
225,-87.6495,41.8818
226,-87.7727,41.96776
227,-87.7052,41.7644
228,-87.655,41.86711
229,-87.831,41.96677
230,-87.6066,41.81688
231,-87.6996,41.73538
232,-87.6096,41.6575
233,-87.7418,41.91705
234,-87.6833,42.06417
235,-87.7701,41.9678
236,-87.6282,41.89501
237,-87.7812,41.94575
238,-87.7173,41.93928
239,-87.7213,41.89549
240,-87.6979,41.94674
241,-87.6209,41.8021
242,-87.6343,41.85294
243,-87.6237,41.8311
244,-87.73,41.86618
245,-87.7668,41.93864
246,-87.7709,41.91976
247,-87.6586,41.85251
248,-87.6198,41.66354
249,-87.6863,41.9614
250,-87.6719,41.89099
251,-87.6168,41.80216
252,-87.6983,41.78639
253,-87.6671,41.89615
254,-87.6487,41.92572
255,-87.7275,41.94619
256,-87.5612,41.75174
257,-87.7747,41.93841
258,-87.749,41.93874
259,-87.7342,41.93893
260,-87.6437,41.7498
261,-87.7047,42.06448
262,-87.7775,41.9093
263,-87.6964,41.97591
264,-87.6667,41.69083
265,-87.6704,41.692
266,-87.6084,41.78407
267,-87.6963,41.70635
268,-87.6951,41.93949
269,-87.6618,41.78685
270,-87.6185,41.7073
271,-87.671,41.93972
272,-87.6302,41.8019
273,-87.6377,41.83822
274,-87.6488,41.7361
275,-87.6281,41.88703
276,-87.772,41.96048
277,-87.7272,41.93526
278,-87.7047,41.82817
279,-87.7511,41.95698
280,-87.6439,41.74352
281,-87.6551,41.8015
282,-87.6264,41.8166
283,-87.6964,41.88089
284,-87.6157,41.77996
285,-87.6413,41.88198
286,-87.7499,41.95331
