id,Longitude,Latitude,full_address_range
0,-87.64912988,41.88781649,330-330 N GREEN ST
1,-87.63462733,41.87661344,217-241 W VAN BUREN ST
2,-87.71039583,41.91343961,1746-1752 N SPAULDING AVE
3,-87.69741338,41.91773177,2000-2000 N CALIFORNIA AVE
4,-87.70106869,41.88949181,445-445 N SACRAMENTO BLVD
5,-87.62094686,41.89641295,232-254 E SUPERIOR ST
6,-87.62378911,41.8948142,677-679 N MICHIGAN AVE
7,-87.63536765,41.92098553,0-0 LINCOLN PARK ZOO #2
8,-87.64853878,41.90808464,1466-1466 N HALSTED ST
9,-87.74907432,41.99048371,6000-6020 N CICERO AVE
10,-87.7856248,41.9379284,6355-6355 W BELMONT AVE
11,-87.76649533,41.94652376,3615-3615 N CENTRAL AVE
12,-87.74795822,41.95410357,4003-4003 N MILWAUKEE AVE
13,-87.74764364,41.95433248,4049-4049 N CICERO AVE
14,-87.78885539,41.95867634,4300-4300 N NARRAGANSETT AVE
15,-87.72678405,41.93842846,3127-3127 N PULASKI RD
16,-87.72568721,41.93897974,3927-3927 W BELMONT AVE
17,-87.78590318,41.92944458,2700-2700 N NARRAGANSETT AVE
18,-87.74618559,41.93013473,2707-2707 N CICERO AVE
19,-87.7880221,41.92401285,6460-6460 W FULLERTON AVE
20,-87.76834242,41.91592101,1920-1920 N CENTRAL AVE
21,-87.76461573,41.91604532,5530-5530 W HOMER ST
22,-87.76522944,41.92100169,2231-2231 N CENTRAL AVE
23,-87.7615242,41.88698766,5429-5429 W LAKE ST
24,-87.74284765,41.91191788,4633-4661 W GRAND AVE
25,-87.738309,41.90731707,1448-1448 N KOSTNER AVE
26,-87.76636644,41.88511265,224-224 N CENTRAL AVE
27,-87.72599667,41.88580911,300-316 N PULASKI RD
28,-87.75673117,41.8800921,5237-5253 W MADISON ST
29,-87.75300393,41.87725772,5088-5088 W JACKSON BLVD
30,-87.76290827,41.87217559,645-645 S CENTRAL AVE
31,-87.72724603,41.86591166,4041-4041 W ROOSEVELT RD
32,-87.76761467,41.86641947,5739-5739 W ROOSEVELT RD
33,-87.73076689,41.8091787,4248-4248 W 47TH ST
34,-87.73985861,41.77076203,4707-4707 W MARQUETTE RD
35,-87.73873728,41.74808551,7903-8071 S CICERO AVE
36,-87.70609349,42.00267713,6700-6700 N WHIPPLE ST
37,-87.70653241,41.99019345,5983-5983 N LINCOLN AVE
38,-87.7065561,41.98965297,5976-5980 N LINCOLN AVE
39,-87.71318161,41.98237567,5501-5501 N KIMBALL AVE
40,-87.68254528,41.99129486,2050-2126 W PETERSON AVE
41,-87.67156653,42.01955209,1607-1607 W HOWARD ST
42,-87.67550374,42.01495901,7330-7352 N CLARK ST
43,-87.67618389,42.00000435,6738-6738 N RAVENSWOOD AVE
44,-87.67402728,41.984748,5645-5657 N RAVENSWOOD AVE
45,-87.67065325,41.99160278,6014-6030 N CLARK ST
46,-87.66566479,41.99797881,1401-1401 W DEVON AVE
47,-87.66078016,41.99195424,6034-6034 N BROADWAY
48,-87.66089751,42.00002559,1209-1209 W ARTHUR AVE
49,-87.65752303,41.99871601,1068-1068 W SHERIDAN RD
50,-87.65631535,42.00019898,1027-1027 W LOYOLA AVE
51,-87.65906007,41.98240533,1122-1124 W CATALPA AVE
52,-87.70950226,41.97159023,4929-4929 N SAWYER AVE
53,-87.7089487,41.97329686,5022-5040 N KEDZIE AVE
54,-87.72116571,41.96632651,3729-3729 W LELAND AVE
55,-87.69700779,41.97443051,2727-2727 W WINONA ST
56,-87.6919436,41.96382616,4509-4509 N MAPLEWOOD AVE
57,-87.70981019,41.93963006,3354-3354 W BELMONT AVE
58,-87.70773083,41.93276094,2822-2822 N KEDZIE AVE
59,-87.69790883,41.93149132,2744-1744 N CALIFORNIA AVE
60,-87.70202806,41.94570166,2959-2959 W ADDISON ST
61,-87.68407435,41.93926239,2221-2221 W BELMONT AVE
62,-87.68584661,41.93047443,2310-2310 W LOGAN BLVD
63,-87.67996764,41.94297946,2039-2041 W ROSCOE ST
64,-87.67951837,41.96931858,2004-2004 W LAWRENCE AVE
65,-87.67442342,41.9509554,1810-1822 W GRACE ST
66,-87.66688979,41.94048115,1505-1505 W MELROSE ST
67,-87.66437624,41.9481668,3614-3636 N SOUTHPORT AVE
68,-87.65658878,41.96292343,4449-4449 N BROADWAY ST
69,-87.65689909,41.9638281,4500-4500 N BROADWAY
70,-87.7098293,41.92634813,3255-3255 W ALTGELD ST
71,-87.69479795,41.92761842,2531-2531 N WASHTENAW AVE
72,-87.6956078,41.91456315,1821-1821 N FAIRFIELD AVE
73,-87.68242087,41.9233091,2319-2319 N LEAVITT ST
74,-87.71105451,41.89139049,536-536 N HOMAN AVE
75,-87.6919998,41.88336577,2620-2620 W WASHINGTON BLVD
76,-87.68918578,41.88347076,2511-2511 W MAYPOLE AVE
